ВУЗ;Направление;Проходной балл 2025;мой балл;Кол-во мест;Место;Стоимость;
ЦУ;Бизнес-информатика;230;232;111;;870000;
ВШЭ СПБ;Аналитика в экономике;180;248;107;426;440 000;
ВШЭ СПБ;Прикладная математика и информатика;210;232;30;355;430 000;
ВШЭ СПБ;Бизнес-информатика;190;232;40;458;470 000;
ВШЭ СПБ;международная программа по бизнесу и экономике;185;248;98;296;510 000;
ВШЭ МСК;Технологии анализа данных в бизнесе;227;232;35;;1 100 000;
ВШЭ МСК;Бизнес-информатика;241;232;110;;1 100 000;
ВШЭ МСК;Управление цифровым продуктом;203;232;65;;1 100 000;
ВШЭ МСК;Экономика;220;;165;;890 000;
ВШЭ МСК;Совместная программа по экономике НИУ ВШЭ и РЭШ;255;248;45;;1 100 000;
ВШЭ МСК;Экономика и анализ данных;250;248;110;;890 000;
ВШЭ МСК;Экономика и статистика;222;248;120;;890 000;
ВШЭ МСК;Мировая экономика;280 (из 400);248;103;;1 020 000;
ВШЭ МСК;Международная программа по экономике и финансам;234;248;278;;117 000;
РЭУ;Системы и технологии искусственного интеллекта (подготовка специалистов топ-уровня);180;234;105;760;420 000;
РЭУ;Аналитика и управление данными;175;234;69;171;390 000;
РЭУ;Прикладная математика и информатика;170;234;14;322;350 000;
РЭУ;аналитика больших данных в экономике;180;250;9;709;400 000;
РЭУ;бизнес-статистика и аналитика;175;250;29;832;390 000;
РЭУ;информационная бизнес-аналитика в цифровой среде;175;234;143;1000;400 000;
РЭУ;биоэкономика;165;250;39;267;360 000;
МГУТУ Баумана;Прикладная математика и информатика;160;239;20;828;360 000;
МГУТУ Баумана;Математичесвие методы ИИ и управления;160;239;56;827;360 000;
МГУТУ Баумана;Цифровая экономика и бизнес анализ;155;255;75;227;340 000;
МГУТУ Баумана;Бизнес-информатика;160;239;87;776;350 000;
РАНХИГС;Бизнес-информатика;180;234;73;791;440 000;
РАНХИГС;Прикладная математика и информатика;170;234;30;188;380 000;
РАНХИГС;Экономика, финансы и анализ;180;250;40;1280;430 000;
РАНХИГС;Экономика предприятий и организаций;175;250;100;958;400 000;
РАНХИГС;Экономический анализ в современном мире;177;250;45;715;410 000;
РАНХИГС;Технологии экономики и управления;170;250;30;296;390 000;
РАНХИГС;Цифровые технологии и разработка информационных систем;177;234;67;;475 000;
РАНХИГС;Цифровые технологии;175;234;20;;450 000;
РАНХИГС;Экономика бизнеса;180;250;66;;420 000;
РАНХИГС;Финансы и кредит;180;250;36;;430 000;
РАНХИГС;Банки и финансовые рынки;175;250;48;;420 000;
РАНХИГС;Экономика топливно-энергетического комплекса;170;250;22;;410 000;
РАНХИГС;Системы искусственного интеллекта;180;234;35;;460 000;
РАНХИГС;Инновационный менеджмент;171;234;50;;450 000;
РАНХИГС;Предпринимательство и управление эффективностью бизнеса;180;250;77;;470 000;
РАНХИГС;Корпоративные финансы: учет, анализ и аудит;198;250;20;;440 000;
